MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
disc_v3,Adam,0.0,0.0,best_loss,0.9917999999999998,6.374504842989764e-17,0.03975585824907478,7.742194845181998e-07,0.9917919999999998,7.788344209268942e-06,0.03646175572737762,1.026798753036669e-06
disc_v3,Adam,0.0,0.0,best_acc,0.9924000000000001,3.187252421494882e-17,0.04810082758914219,1.2571649449371173e-06,0.9922,0.0,0.04169621722406289,1.2342124748684977e-06
disc_v3,Adam,0.0,0.1,best_loss,0.9897,0.0,0.03983824993540399,6.532697117753541e-07,0.9928000000000001,3.187252421494882e-17,0.027653804413250604,5.656099137804076e-07
disc_v3,Adam,0.0,0.1,best_acc,0.9932000000000001,3.187252421494882e-17,0.05960401840722639,7.361273016834764e-07,0.9945000000000002,3.187252421494882e-17,0.03675943864725046,7.255207376137283e-07
disc_v3,Adam,0.0,0.2,best_loss,0.9904999999999999,3.187252421494882e-17,0.035444597983169165,2.492396153215018e-07,0.990002,4.019150468977974e-06,0.028319694918623267,2.9861785625244013e-07
disc_v3,Adam,0.0,0.2,best_acc,0.9932999999999998,3.187252421494882e-17,0.04180354125577854,4.5446884709195603e-07,0.9934000000000001,3.187252421494882e-17,0.031052861981847885,5.101015564781894e-07
disc_v3,Adam,0.25,0.0,best_loss,0.9922,0.0,0.027387450958751655,6.944913151786567e-07,0.9945999999999999,3.187252421494882e-17,0.02087590131188999,6.351728504261546e-07
disc_v3,Adam,0.25,0.0,best_acc,0.9942,0.0,0.03293035899767794,9.274136513948592e-07,0.9943999999999998,3.187252421494882e-17,0.023734236421156817,1.0351727601178544e-06
disc_v3,Adam,0.25,0.1,best_loss,0.9938739999999998,1.2592407338850698e-05,0.023779028982726463,4.911674667850505e-07,0.9956,0.0,0.01786631910519653,3.950663399275463e-07
disc_v3,Adam,0.25,0.1,best_acc,0.9951999999999999,3.187252421494882e-17,0.026375560313713336,4.7031129858728784e-07,0.9958000000000001,3.187252421494882e-17,0.01527393492401641,4.294053925903855e-07
disc_v3,Adam,0.25,0.2,best_loss,0.9941,0.0,0.022936998245514234,3.166562480772438e-07,0.9951000000000001,3.187252421494882e-17,0.016447670597212867,3.026310348519389e-07
disc_v3,Adam,0.25,0.2,best_acc,0.9953999999999997,6.374504842989764e-17,0.028500287515589175,3.643641699005177e-07,0.9958999999999999,3.187252421494882e-17,0.016019530248732438,3.5975261645152694e-07
disc_v3,Adam,0.5,0.0,best_loss,0.9917999999999998,6.374504842989764e-17,0.026436881573842778,4.6615751101672203e-07,0.9919999999999999,3.187252421494882e-17,0.024621542180380693,5.158978781963244e-07
disc_v3,Adam,0.5,0.0,best_acc,0.9947000000000001,3.187252421494882e-17,0.03889285000116568,1.236117944109946e-06,0.9945999999999999,3.187252421494882e-17,0.02627690828607863,8.066699216618135e-07
disc_v3,Adam,0.5,0.1,best_loss,0.9943000000000001,3.187252421494882e-17,0.022814174612889402,4.837567352319255e-07,0.9956,0.0,0.014100096417947482,3.6214695088539205e-07
disc_v3,Adam,0.5,0.1,best_acc,0.9949999999999999,3.187252421494882e-17,0.032264149026153155,7.103464956104013e-07,0.9960000000000002,6.374504842989764e-17,0.015465624034850895,5.190315034498729e-07
disc_v3,Adam,0.5,0.2,best_loss,0.9949000000000001,3.187252421494882e-17,0.021908152211077624,3.760557070051195e-07,0.9962000000000001,3.187252421494882e-17,0.013312739176223198,3.0931643477173585e-07
disc_v3,Adam,0.5,0.2,best_acc,0.9953819999999999,1.1029337049343915e-05,0.03013686826213748,5.019984921471396e-07,0.9962000000000001,3.187252421494882e-17,0.015580979122081562,4.2730225570099276e-07
